x,y,z
1.17038,-1.79983,0.279559
1.17742,-1.79798,0.223482
1.18715,-1.80419,0.167098
0.401895,-1.47088,0.2509
0.408036,-1.48108,0.206058
0.414867,-1.4801,0.161153
0.759158,1.18169,0.197003
0.755708,1.18332,0.222258
1.99775,2.27767,0.155484
1.99209,2.28333,0.221346
1.2488,1.2681,0.261716
1.96668,2.27495,0.352185
1.37145,1.45372,0.344119
1.94845,2.2763,0.482613
3.00329,1.8045,0.202014
2.99222,1.80307,0.279182
2.98792,1.80584,0.35621
2.98192,1.8075,0.433158
2.98264,1.81338,0.510906
2.97322,1.81283,0.587794
2.97045,1.8165,0.665895
3.64262,0.699458,0.18552
3.77871,0.716939,0.270339
3.7869,0.715575,0.357639
3.8027,0.715236,0.446011
3.54406,0.675404,0.510629
3.66206,0.689724,0.606002
3.01657,0.595437,0.597986
2.53602,0.525483,0.583826
2.5362,0.523732,0.639565
3.67426,0.680473,0.953726
1.6974,-0.0335308,0.259311
1.66727,-0.0305009,0.289986
1.6646,-0.0337338,0.321208
1.66984,-0.0388634,0.353254
1.6472,-0.0373575,0.382204
1.76414,-0.0698169,0.431985
2.69701,-0.305136,0.638709
2.42297,-0.24401,0.642179
3.35399,-1.7467,0.217674
3.34993,-1.7669,0.307303
3.34462,-1.78641,0.39738
3.33724,-1.80464,0.487849
3.32778,-1.82155,0.578649
3.10375,-1.68053,0.636852
2.99821,-1.62438,0.703772
2.95442,-1.61333,0.778652
2.92412,-1.6122,0.85548
1.35779,-1.06131,0.222255
1.32698,-1.03461,0.261014
1.2535,-0.940308,0.29435
1.24917,-0.952516,0.330469
1.2027,-0.897116,0.359613
1.17694,-0.873737,0.389835
0.721128,-0.921044,0.159935
0.703773,-0.936612,0.21903
0.697061,-0.957012,0.249156
0.686903,-0.957875,0.279494
0.67661,-0.957908,0.309798
0.518469,1.24666,0.208293
0.525138,1.18661,0.186335
0.533148,1.18488,0.162951
0.900204,1.18401,0.299711
0.91653,1.17906,0.248789
1.31378,1.06123,0.367988
1.41999,1.15359,0.351416
2.08309,1.75904,0.322242
2.05924,1.71521,0.266115
2.01177,1.65051,0.212738
2.02083,1.6389,0.160575
3.91615,1.69405,0.978493
3.91421,1.67115,0.877909
3.82807,1.61411,0.765337
3.9105,1.62639,0.680966
3.90889,1.60454,0.584295
3.89545,1.57832,0.487705
3.88036,1.55183,0.392516
3.92634,1.54884,0.299925
3.9242,1.52752,0.20565
1.89141,0.259315,0.549633
1.87958,0.254884,0.509356
1.87644,0.25057,0.471613
1.86237,0.246365,0.432778
1.877,0.24209,0.398388
1.87083,0.237973,0.361518
1.92352,0.233164,0.329062
1.92546,0.228886,0.291918
3.71391,0.190729,0.280172
3.73382,0.180838,0.196051
3.35578,-0.921183,0.899392
3.37016,-0.929337,0.818182
3.36522,-0.929509,0.733548
3.52854,-0.999199,0.674298
1.65058,-0.223624,0.368516
1.61632,-0.21024,0.332649
1.68165,-0.238184,0.304759
1.78232,-0.280907,0.274307
1.86468,-0.316107,0.238118
1.86398,-0.316696,0.199404
1.87157,-0.320719,0.160211
2.34906,-1.49318,0.671959
2.35275,-1.49172,0.603963
2.35439,-1.48834,0.536063
2.3547,-1.48372,0.468478
2.36097,-1.4847,0.40191
2.35138,-1.47082,0.334447
2.3551,-1.46937,0.268225
2.35757,-1.4667,0.201984
1.06836,-1.02823,0.294636
1.32349,-1.59332,0.268141
1.36148,-1.66306,0.214793
1.371,-1.66837,0.159839
0.523572,-1.3062,0.27647
0.529331,-1.28767,0.236139
0.524478,-0.677367,0.212164
0.526773,-0.617466,0.191263
0.529877,-0.60697,0.16956
0.68809,1.16624,0.157015
0.68478,1.16864,0.181452
1.10093,1.18778,0.152917
1.09866,1.19129,0.182045
1.10126,1.20265,0.210991
1.08248,1.17928,0.240322
1.066,1.17326,0.325408
2.0561,1.36458,0.192977
2.05429,1.36784,0.243179
2.05142,1.3703,0.293379
2.03946,1.36605,0.342978
