ix,iy,x,y,occupied
58,34,3.11662,0.90514,1
65,34,3.81662,0.90514,1
66,34,3.91662,0.90514,1
5,35,-2.18338,1.00514,1
6,35,-2.08338,1.00514,1
7,35,-1.98338,1.00514,1
8,35,-1.88338,1.00514,1
30,35,0.31662,1.00514,1
31,35,0.41662,1.00514,1
32,35,0.51662,1.00514,1
33,35,0.61662,1.00514,1
34,35,0.71662,1.00514,1
35,35,0.81662,1.00514,1
36,35,0.91662,1.00514,1
39,35,1.21662,1.00514,1
40,35,1.31662,1.00514,1
41,35,1.41662,1.00514,1
42,35,1.51662,1.00514,1
43,35,1.61662,1.00514,1
44,35,1.71662,1.00514,1
45,35,1.81662,1.00514,1
54,35,2.71662,1.00514,1
56,35,2.91662,1.00514,1
57,35,3.01662,1.00514,1
58,35,3.11662,1.00514,1
65,35,3.81662,1.00514,1
66,35,3.91662,1.00514,1
67,35,4.01662,1.00514,1
5,36,-2.18338,1.10514,1
6,36,-2.08338,1.10514,1
8,36,-1.88338,1.10514,1
9,36,-1.78338,1.10514,1
31,36,0.41662,1.10514,1
32,36,0.51662,1.10514,1
33,36,0.61662,1.10514,1
34,36,0.71662,1.10514,1
35,36,0.81662,1.10514,1
36,36,0.91662,1.10514,1
37,36,1.01662,1.10514,1
38,36,1.11662,1.10514,1
39,36,1.21662,1.10514,1
40,36,1.31662,1.10514,1
41,36,1.41662,1.10514,1
42,36,1.51662,1.10514,1
43,36,1.61662,1.10514,1
44,36,1.71662,1.10514,1
45,36,1.81662,1.10514,1
65,36,3.81662,1.10514,1
66,36,3.91662,1.10514,1
67,36,4.01662,1.10514,1
5,37,-2.18338,1.20514,1
6,37,-2.08338,1.20514,1
7,37,-1.98338,1.20514,1
8,37,-1.88338,1.20514,1
9,37,-1.78338,1.20514,1
10,37,-1.68338,1.20514,1
11,37,-1.58338,1.20514,1
31,37,0.41662,1.20514,1
32,37,0.51662,1.20514,1
33,37,0.61662,1.20514,1
34,37,0.71662,1.20514,1
35,37,0.81662,1.20514,1
36,37,0.91662,1.20514,1
37,37,1.01662,1.20514,1
38,37,1.11662,1.20514,1
39,37,1.21662,1.20514,1
40,37,1.31662,1.20514,1
41,37,1.41662,1.20514,1
42,37,1.51662,1.20514,1
43,37,1.61662,1.20514,1
44,37,1.71662,1.20514,1
45,37,1.81662,1.20514,1
46,37,1.91662,1.20514,1
47,37,2.01662,1.20514,1
49,37,2.21662,1.20514,1
65,37,3.81662,1.20514,1
66,37,3.91662,1.20514,1
67,37,4.01662,1.20514,1
5,38,-2.18338,1.30514,1
6,38,-2.08338,1.30514,1
7,38,-1.98338,1.30514,1
8,38,-1.88338,1.30514,1
9,38,-1.78338,1.30514,1
10,38,-1.68338,1.30514,1
11,38,-1.58338,1.30514,1
31,38,0.41662,1.30514,1
32,38,0.51662,1.30514,1
33,38,0.61662,1.30514,1
34,38,0.71662,1.30514,1
37,38,1.01662,1.30514,1
38,38,1.11662,1.30514,1
39,38,1.21662,1.30514,1
40,38,1.31662,1.30514,1
41,38,1.41662,1.30514,1
42,38,1.51662,1.30514,1
43,38,1.61662,1.30514,1
44,38,1.71662,1.30514,1
46,38,1.91662,1.30514,1
47,38,2.01662,1.30514,1
48,38,2.11662,1.30514,1
49,38,2.21662,1.30514,1
50,38,2.31662,1.30514,1
64,38,3.71662,1.30514,1
65,38,3.81662,1.30514,1
66,38,3.91662,1.30514,1
67,38,4.01662,1.30514,1
